순번,상품명,상품코드,수량,일자
1,글레이즈 도넛,00C686,199,2025-10-10
2,피스타치오 가나슈 도넛,0448DD,102,2025-10-10
3,누텔라 도넛,00C641,110,2025-10-10
4,애월 녹차 필링 도넛,01F4E5,82,2025-10-10
5,연유 버터 크림 도넛,051BE6,71,2025-10-10
6,버터크럼 도넛,00C691,79,2025-10-10
7,애플 프리터,00C6A3,71,2025-10-10
8,핑크 스프링클 도넛,00C692,85,2025-10-10
9,초콜릿 도넛,00C687,84,2025-10-10
10,라봉 도넛,0448E7,63,2025-10-10
11,스프링 어니언 도넛,01F4E2,58,2025-10-10
12,아몬드 브리틀 도넛,02C041,59,2025-10-10
13,딸기필링 도넛,00C9D4,58,2025-10-10
14,초코크런치스트로베리 도넛,01C27D,47,2025-10-10
15,텍사스 글레이즈 도넛,00C63D,38,2025-10-10
16,커피크럼 도넛,019B66,40,2025-10-10
17,가나슈 도넛,00C642,36,2025-10-10
18,레몬필링 도넛,00C6AA,33,2025-10-10
19,스모어 도넛,00C645,30,2025-10-10
20,블루베리 필링 도넛,011FC1,29,2025-10-10
21,슈가 도넛,00C688,37,2025-10-10
22,코코넛 도넛,00C6AE,29,2025-10-10
23,크림사탕도넛,01C27E,22,2025-10-10
24,초콜릿 올드패션,00C69E,30,2025-10-10
25,글레이즈 올드패션,00C69D,29,2025-10-10
26,글레이즈 크론디,00C6A6,23,2025-10-10
27,초콜릿 크론디,00C6A8,15,2025-10-10
28,카라멜 코코넛 도넛,00C646,12,2025-10-10
29,로스트 코코넛 도넛,00C6AF,11,2025-10-10
1,글레이즈 도넛,00C686,196,2025-10-11
2,피스타치오 가나슈 도넛,0448DD,94,2025-10-11
3,누텔라 도넛,00C641,106,2025-10-11
4,연유 버터 크림 도넛,051BE6,83,2025-10-11
5,애월 녹차 필링 도넛,01F4E5,70,2025-10-11
6,버터크럼 도넛,00C691,68,2025-10-11
7,아몬드 브리틀 도넛,02C041,60,2025-10-11
8,라봉 도넛,0448E7,60,2025-10-11
9,애플 프리터,00C6A3,60,2025-10-11
10,커피크럼 도넛,019B66,60,2025-10-11
11,핑크 스프링클 도넛,00C692,69,2025-10-11
12,초콜릿 도넛,00C687,66,2025-10-11
13,스프링 어니언 도넛,01F4E2,46,2025-10-11
14,텍사스 글레이즈 도넛,00C63D,46,2025-10-11
15,초코크런치스트로베리 도넛,01C27D,40,2025-10-11
16,딸기필링 도넛,00C9D4,42,2025-10-11
17,가나슈 도넛,00C642,35,2025-10-11
18,스모어 도넛,00C645,32,2025-10-11
19,블루베리 필링 도넛,011FC1,31,2025-10-11
20,초콜릿 올드패션,00C69E,41,2025-10-11
21,레몬필링 도넛,00C6AA,28,2025-10-11
22,글레이즈 크론디,00C6A6,28,2025-10-11
23,슈가 도넛,00C688,32,2025-10-11
24,글레이즈 올드패션,00C69D,33,2025-10-11
25,크림사탕도넛,01C27E,22,2025-10-11
26,카라멜 코코넛 도넛,00C646,23,2025-10-11
27,코코넛 도넛,00C6AE,24,2025-10-11
28,초콜릿 크론디,00C6A8,21,2025-10-11
29,로스트 코코넛 도넛,00C6AF,10,2025-10-11
1,글레이즈 도넛,00C686,158,2025-10-12
2,피스타치오 가나슈 도넛,0448DD,96,2025-10-12
3,버터크럼 도넛,00C691,87,2025-10-12
4,누텔라 도넛,00C641,81,2025-10-12
5,애월 녹차 필링 도넛,01F4E5,67,2025-10-12
6,연유 버터 크림 도넛,051BE6,59,2025-10-12
7,아몬드 브리틀 도넛,02C041,60,2025-10-12
8,애플 프리터,00C6A3,57,2025-10-12
9,라봉 도넛,0448E7,56,2025-10-12
10,스프링 어니언 도넛,01F4E2,48,2025-10-12
11,핑크 스프링클 도넛,00C692,56,2025-10-12
12,커피크럼 도넛,019B66,48,2025-10-12
13,딸기필링 도넛,00C9D4,42,2025-10-12
14,텍사스 글레이즈 도넛,00C63D,37,2025-10-12
15,초콜릿 도넛,00C687,49,2025-10-12
16,초코크런치스트로베리 도넛,01C27D,34,2025-10-12
17,레몬필링 도넛,00C6AA,35,2025-10-12
18,스모어 도넛,00C645,33,2025-10-12
19,코코넛 도넛,00C6AE,33,2025-10-12
20,초콜릿 올드패션,00C69E,36,2025-10-12
21,블루베리 필링 도넛,011FC1,25,2025-10-12
22,가나슈 도넛,00C642,25,2025-10-12
23,카라멜 코코넛 도넛,00C646,24,2025-10-12
24,글레이즈 크론디,00C6A6,26,2025-10-12
25,초콜릿 크론디,00C6A8,23,2025-10-12
26,글레이즈 올드패션,00C69D,30,2025-10-12
27,슈가 도넛,00C688,26,2025-10-12
28,크림사탕도넛,01C27E,18,2025-10-12
29,로스트 코코넛 도넛,00C6AF,18,2025-10-12
1,글레이즈 도넛,00C686,108,2025-10-13
2,피스타치오 가나슈 도넛,0448DD,72,2025-10-13
3,연유 버터 크림 도넛,051BE6,52,2025-10-13
4,애월 녹차 필링 도넛,01F4E5,47,2025-10-13
5,애플 프리터,00C6A3,49,2025-10-13
6,라봉 도넛,0448E7,46,2025-10-13
7,스프링 어니언 도넛,01F4E2,38,2025-10-13
8,버터크럼 도넛,00C691,40,2025-10-13
9,누텔라 도넛,00C641,36,2025-10-13
10,딸기필링 도넛,00C9D4,34,2025-10-13
11,아몬드 브리틀 도넛,02C041,32,2025-10-13
12,초코크런치스트로베리 도넛,01C27D,27,2025-10-13
13,텍사스 글레이즈 도넛,00C63D,26,2025-10-13
14,초콜릿 올드패션,00C69E,35,2025-10-13
15,스모어 도넛,00C645,24,2025-10-13
16,글레이즈 올드패션,00C69D,32,2025-10-13
17,초콜릿 도넛,00C687,28,2025-10-13
18,크림사탕도넛,01C27E,20,2025-10-13
19,핑크 스프링클 도넛,00C692,24,2025-10-13
20,블루베리 필링 도넛,011FC1,17,2025-10-13
21,코코넛 도넛,00C6AE,19,2025-10-13
22,가나슈 도넛,00C642,16,2025-10-13
23,슈가 도넛,00C688,20,2025-10-13
24,커피크럼 도넛,019B66,16,2025-10-13
25,레몬필링 도넛,00C6AA,13,2025-10-13
26,카라멜 코코넛 도넛,00C646,12,2025-10-13
27,로스트 코코넛 도넛,00C6AF,9,2025-10-13
28,글레이즈 크론디,00C6A6,9,2025-10-13
29,초콜릿 크론디,00C6A8,8,2025-10-13
1,글레이즈 도넛,00C686,103,2025-10-14
2,피스타치오 가나슈 도넛,0448DD,69,2025-10-14
3,연유 버터 크림 도넛,051BE6,48,2025-10-14
4,애월 녹차 필링 도넛,01F4E5,47,2025-10-14
5,라봉 도넛,0448E7,47,2025-10-14
6,버터크럼 도넛,00C691,47,2025-10-14
7,스프링 어니언 도넛,01F4E2,38,2025-10-14
8,애플 프리터,00C6A3,38,2025-10-14
9,누텔라 도넛,00C641,39,2025-10-14
10,아몬드 브리틀 도넛,02C041,34,2025-10-14
11,텍사스 글레이즈 도넛,00C63D,30,2025-10-14
12,딸기필링 도넛,00C9D4,26,2025-10-14
13,크림사탕도넛,01C27E,24,2025-10-14
14,초콜릿 올드패션,00C69E,33,2025-10-14
15,글레이즈 올드패션,00C69D,34,2025-10-14
16,초콜릿 도넛,00C687,31,2025-10-14
17,레몬필링 도넛,00C6AA,23,2025-10-14
18,핑크 스프링클 도넛,00C692,29,2025-10-14
19,초코크런치스트로베리 도넛,01C27D,20,2025-10-14
20,스모어 도넛,00C645,19,2025-10-14
21,코코넛 도넛,00C6AE,21,2025-10-14
22,커피크럼 도넛,019B66,20,2025-10-14
23,슈가 도넛,00C688,24,2025-10-14
24,가나슈 도넛,00C642,17,2025-10-14
25,블루베리 필링 도넛,011FC1,16,2025-10-14
26,로스트 코코넛 도넛,00C6AF,14,2025-10-14
27,카라멜 코코넛 도넛,00C646,12,2025-10-14
28,글레이즈 크론디,00C6A6,12,2025-10-14
29,초콜릿 크론디,00C6A8,8,2025-10-14
30,민트초콜릿 도넛,00C640,1,2025-10-14
1,피스타치오 가나슈 도넛,0448DD,77,2025-10-15
2,글레이즈 도넛,00C686,107,2025-10-15
3,애플 프리터,00C6A3,56,2025-10-15
4,연유 버터 크림 도넛,051BE6,50,2025-10-15
5,애월 녹차 필링 도넛,01F4E5,47,2025-10-15
6,라봉 도넛,0448E7,45,2025-10-15
7,딸기필링 도넛,00C9D4,45,2025-10-15
8,누텔라 도넛,00C641,45,2025-10-15
9,버터크럼 도넛,00C691,42,2025-10-15
10,스프링 어니언 도넛,01F4E2,35,2025-10-15
11,텍사스 글레이즈 도넛,00C63D,34,2025-10-15
12,초콜릿 도넛,00C687,32,2025-10-15
13,크림사탕도넛,01C27E,23,2025-10-15
14,아몬드 브리틀 도넛,02C041,22,2025-10-15
15,글레이즈 크론디,00C6A6,25,2025-10-15
16,블루베리 필링 도넛,011FC1,21,2025-10-15
17,커피크럼 도넛,019B66,24,2025-10-15
18,가나슈 도넛,00C642,21,2025-10-15
19,초코크런치스트로베리 도넛,01C27D,17,2025-10-15
20,레몬필링 도넛,00C6AA,18,2025-10-15
21,스모어 도넛,00C645,17,2025-10-15
22,코코넛 도넛,00C6AE,18,2025-10-15
23,글레이즈 올드패션,00C69D,22,2025-10-15
24,초콜릿 올드패션,00C69E,21,2025-10-15
25,카라멜 코코넛 도넛,00C646,15,2025-10-15
26,초콜릿 크론디,00C6A8,15,2025-10-15
27,로스트 코코넛 도넛,00C6AF,14,2025-10-15
28,핑크 스프링클 도넛,00C692,17,2025-10-15
29,슈가 도넛,00C688,16,2025-10-15
